TEST_id,Transformation outliers,Ordinalise/bin,drop,FEATURE ENGINEERING. DESCRIPTION,NORMALIZER SCALER,STANDARD SCALER,MIXMAX SCALER,POWER SCALER,Class Regr MODEL,KNN MODEL,"KNN
Key",Random Forest MODEL,Ada MODEL,SVM MODEL,TOMEK BALANCER,SMOTE BALANCER,"UNDER BALANCER
-","OVER SCALER
+",Accuracy RESULTS,"Kappa RESULTS
(0.65 target)",TN RESULTS,FN RESULTS,TP RESULTS,FP RESULTS,"Model Value 
10 to 1","Model 
25 to 1","Model 
100 to 1","Model 
1000 to1"
N Test 3,0,1,1,"Dropping all columns except credit_rating, income_level, mailer_type, rewards and avg_balance_bins",0,1,0,0,0,0,0,1,0,0,1,0,0,1,0.62,0.09,3036,90,238,1956,0.03496240602,0.7060150376,4.061278195,6.298120301
K Test 20,1,1,1,"IQR Outliers, Bin: HSiz, Avg balan 500, Drop row:low target: remove rows: 'n_credit_cards_held' != 1, 'credit_rating' != 'High', 'reward' != 'Cash Back'",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.87,0.09,1319,115,19,83,0.05729166667,0.2428385417,1.170572917,1.7890625
Test 9,1,1,0,"IQR outliers. Ordi: income_level, credit_rating",0,1,0,0,0,1,0,0,0,0,1,1,0,0,0.87,0.08,4534,266,62,448,0.02071563089,0.1958568738,1.071563089,1.655367232
Test 6,1,1,0,"IQR outliers. Ordi: income_level, credit_rating",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.94,0,10546,610,397,5641,-0.1202745144,0.2260672328,1.957775968,3.112248459
K Test 12,0,0,0,With outliers (dirty copy),1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.94,0,5093,300,0,0,0,0,0,0
K Test 16,0,0,0,With outliers (dirty copy),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.94,0,5093,300,0,0,0,0,0,0
K Test 4,0,0,0,With outliers (dirty copy),0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.94,0,5093,300,0,0,0,0,0,0
K Test 8,0,0,0,With outliers (dirty copy),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.94,0,5093,300,0,0,0,0,0,0
Test 1,1,1,0,"IQR outliers. Ordi: income_level, credit_rating",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.94,0,6663,417,0,0,0,0,0,0
Test 2,1,1,0,"IQR outliers. Ordi: income_level, credit_rating",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.94,0,6663,417,0,0,0,0,0,0
Send to all,,,,Send to all,,,,,,,,,,,,,,,,,,,1023,16977,-0.4316666667,0.4208333333,4.683333333,7.525
